config,fold_1,fold_2,fold_3,fold_4,fold_5,Mean,Std
resnet50_imagenet_sup,0.8622784947739519,0.9293145617600175,0.9054821310286093,0.8271498827072334,0.9115361818369241,0.8871522504213474,0.041614928160099755
resnet50_imagenet,0.7970383139977326,0.9900585293437656,0.9051667034665489,0.8740540645336401,0.7518039377383776,0.8636243098160129,0.09321702174491894
resnet50_gastronet,0.9640117100747022,0.9980530779620593,0.9490111345929407,0.9543042891024357,0.9698033707865168,0.9670367165037309,0.019143249650213925
efficientnetb0,0.9155678765006445,0.9534320585050071,0.9453916033182981,0.8564181438662022,0.8802700752499744,0.9102159514880253,0.041606973866492175
vitb16_imagenet_sup,0.8511818788923575,0.9534989839500614,0.8667160836513894,0.912149979643404,0.9096484898464076,0.898639083196724,0.040572848706354254
vitb16_imagenet,0.9252628554566774,0.977938939657585,0.929722739172949,0.9154393470379538,0.911304246984847,0.9319336256620024,0.02675588067119592
vits16_imagenet_hf,0.9187322368727577,0.9801231428188998,0.8976752988676151,0.8799348588932473,0.9252332233790331,0.9203397521663106,0.03790388109278924
vits16_imagenet,0.9077967509978412,0.970619729621202,0.8977699271362332,0.8967532845205859,0.9049711369961859,0.9155821658544097,0.031121305659223202
vits16_gastronet,0.9616413517836898,0.9993185772867207,0.9208434533009495,0.9155750576770217,0.9987114730440161,0.9592179826184797,0.040469048650286735
